Date,Open,High,Low,Close,Adj Close,Volume
2020-05-19,11.400000,11.510000,11.060000,11.150000,11.108326,26264000
2020-05-20,11.430000,11.990000,11.370000,11.950000,11.905335,28188200
2020-05-21,11.980000,12.210000,11.750000,11.980000,11.935224,22874800
2020-05-22,11.860000,11.950000,11.470000,11.590000,11.546681,19319100
2020-05-26,12.040000,12.110000,11.780000,11.870000,11.825635,23319700
2020-05-27,11.950000,12.240000,11.510000,12.190000,12.144439,20093700
2020-05-28,12.180000,12.570000,11.940000,12.110000,12.064737,19018700
2020-05-29,11.880000,11.950000,11.400000,11.750000,11.706083,28721700
2020-06-01,11.790000,12.180000,11.580000,12.040000,11.995000,20750000
2020-06-02,12.240000,12.700000,12.110000,12.690000,12.690000,21763900
2020-06-03,13.090000,13.210000,12.860000,13.080000,13.080000,24102100
2020-06-04,12.990000,13.430000,12.670000,13.190000,13.190000,22497000
2020-06-05,14.220000,15.010000,14.210000,14.520000,14.520000,27776900
2020-06-08,15.500000,16.450001,15.190000,16.400000,16.400000,36372000
2020-06-09,15.620000,15.620000,14.840000,15.430000,15.430000,23805800
2020-06-10,15.120000,15.240000,14.210000,14.510000,14.510000,26440800
2020-06-11,12.600000,13.250000,12.230000,12.280000,12.280000,27855000
2020-06-12,13.170000,13.310000,12.310000,12.780000,12.780000,20059900
2020-06-15,11.950000,13.280000,11.710000,13.030000,13.030000,19678100
2020-06-16,14.100000,14.140000,13.060000,13.530000,13.530000,23520500
2020-06-17,13.450000,13.460000,12.930000,12.960000,12.960000,15669300
2020-06-18,12.730000,13.330000,12.650000,13.190000,13.190000,14375100
2020-06-19,13.780000,13.800000,12.950000,13.040000,13.040000,29721000
2020-06-22,12.930000,13.130000,12.710000,13.020000,13.020000,12853300
2020-06-23,13.180000,13.250000,12.960000,13.000000,13.000000,13303300
2020-06-24,12.670000,12.700000,11.610000,11.860000,11.860000,18726000
2020-06-25,11.580000,12.430000,11.510000,12.430000,12.430000,12866700
2020-06-26,12.310000,12.310000,11.820000,11.930000,11.930000,16419700
2020-06-29,12.010000,12.560000,11.840000,12.420000,12.420000,16714300
2020-06-30,12.260000,13.160000,12.120000,12.980000,12.980000,21171100
2020-07-01,13.190000,13.310000,12.400000,12.470000,12.470000,15603200
2020-07-02,12.790000,13.110000,12.570000,12.570000,12.570000,15125100
2020-07-06,12.950000,13.210000,12.720000,13.030000,13.030000,13644000
2020-07-07,12.780000,12.850000,12.410000,12.410000,12.410000,10967300
2020-07-08,12.420000,12.670000,12.190000,12.470000,12.470000,13122400
2020-07-09,12.470000,12.580000,11.700000,11.780000,11.780000,16112800
2020-07-10,11.740000,12.090000,11.670000,12.060000,12.060000,12895000
2020-07-13,12.240000,12.260000,11.760000,11.790000,11.790000,13306800
2020-07-14,11.750000,12.540000,11.630000,12.480000,12.480000,15884100
2020-07-15,12.990000,13.180000,12.730000,13.000000,13.000000,18202100
2020-07-16,12.830000,13.380000,12.690000,13.090000,13.090000,12747200
2020-07-17,13.150000,13.440000,12.940000,13.080000,13.080000,16463500
2020-07-20,13.710000,14.140000,13.380000,13.410000,13.410000,28342500
2020-07-21,14.050000,14.920000,13.980000,14.320000,14.320000,32628300
2020-07-22,14.140000,14.390000,13.880000,14.180000,14.180000,17933100
2020-07-23,13.950000,14.770000,13.940000,14.750000,14.750000,19508600
2020-07-24,14.660000,14.910000,14.570000,14.710000,14.710000,21901700
2020-07-27,14.700000,14.930000,14.480000,14.900000,14.900000,15134100
2020-07-28,14.800000,14.990000,14.580000,14.650000,14.650000,14961000
